title,artist,debut
Bad Bad Boys,Midi Maxi & Efti,1992-05-30
Baby-Baby-Baby,TLC,1992-06-06
Strawberry Letter 23,Tevin Campbell,1992-06-06
Warm It Up,Kris Kross,1992-06-06
Scenario,A Tribe Called Quest,1992-06-06
Giving Him Something He Can Feel,En Vogue,1992-06-06
All You've Got,RTZ,1992-06-06
Too Funky,George Michael,1992-06-13
Friday I'm In Love,The Cure,1992-06-13
Take This Heart,Richard Marx,1992-06-13
Remedy,The Black Crowes,1992-06-13
"Mr. Loverman (From ""Deep Cover"")",Shabba Ranks,1992-06-13
Twilight Zone,2 Unlimited,1992-06-13
Move This,Technotronic Featuring Ya Kid K,1992-06-13
Good Stuff,The B-52s,1992-06-20
Whatever It Takes (To Make You Stay),Troop,1992-06-20
"You Remind Me (From ""Strictly Business"")",Mary J. Blige,1992-06-20
57 Channels (And Nothin' On),Bruce Springsteen,1992-06-20
Sleeping With The Lights On,Curtis Stigers,1992-06-20
Forever In Your Eyes,Mint Condition,1992-06-20
Please Don't Go,K.W.S.,1992-06-20
Slowly,Stacy Earl,1992-06-20
November Rain,Guns N' Roses,1992-06-27
Make Love Like A Man,Def Leppard,1992-06-27
They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,1992-06-27
The One,Elton John,1992-06-27
All I Want,Toad The Wet Sprocket,1992-06-27
Faces Of Love,Nia Peeples,1992-06-27
Jump Around,House Of Pain,1992-06-27
Everybody's Free (To Feel Good),Rozalla,1992-06-27
This Used To Be My Playground,Madonna,1992-07-04
Stay,Shakespear's Sister,1992-07-04
Brainstorming,M.C. Brains,1992-07-04
I Miss You,Joe Public,1992-07-04
Strobelite Honey,Black Sheep,1992-07-04
Reach For The Sky,Firehouse,1992-07-04
Take Me In Your Arms,Lil Suzy,1992-07-04
The Way I Feel,Tag,1992-07-04
So What'cha Want,Beastie Boys,1992-07-04
Jam,Michael Jackson,1992-07-11
Even Better Than The Real Thing,U2,1992-07-11
Back To The Hotel,N2Deep,1992-07-11
"I Wanna Love You (From ""Class Act"")",Jade,1992-07-11
Tequila,A.L.T. And The Lost Civilization,1992-07-11
Who's Got Your Love,Nyasia,1992-07-11
I Need Love,Olivia Newton-John,1992-07-11
Restless Heart,Peter Cetera,1992-07-11
"End Of The Road (From ""Boomerang"")",Boyz II Men,1992-07-18
"Money Can't Buy You Love (From ""Mo' Money"")",Ralph Tresvant,1992-07-18
Wherever I May Roam,Metallica,1992-07-18
Another Minute,Cause And Effect,1992-07-18
Sexy MF,Prince And The N.P.G.,1992-07-25
Jus Lyke Compton,DJ Quik,1992-07-25
"Give U My Heart (From ""Boomerang"")",Babyface (Featuring Toni Braxton),1992-07-25
Crossover,EPMD,1992-07-25
Boot Scootin' Boogie,Brooks & Dunn,1992-07-25
I've Got Mine,Glenn Frey,1992-07-25
Jesus He Knows Me,Genesis,1992-08-01
She's Playing Hard To Get,Hi-Five,1992-08-01
Do I Have To Say The Words?,Bryan Adams,1992-08-01
Constant Craving,k.d. lang,1992-08-01
The Hitman,AB Logic,1992-08-01
Nothing Broken But My Heart,Celine Dion,1992-08-01
Humpin' Around,Bobby Brown,1992-08-08
Lithium,Nirvana,1992-08-08
Where Does That Leave Love,George LaMond,1992-08-08
Nobody Wins In This War,Mitch Malloy,1992-08-08
Divine Thing,The Soup Dragons,1992-08-08
Galileo,Indigo Girls,1992-08-08
Give It Up,Wilson Phillips,1992-08-08
Jump!,The Movement,1992-08-08
"Full Term Love (From ""Class Act"")",Monie Love,1992-08-08
Sometimes Love Just Ain't Enough,Patty Smyth,1992-08-15
When I Look Into Your Eyes,Firehouse,1992-08-15
People Everyday,Arrested Development,1992-08-15
Keep It Comin' (Dance Till You Can't Dance No More!),C+C Music Factory,1992-08-15
Rhythm Is A Dancer,Snap!,1992-08-15
Kickin' It,After 7,1992-08-15
Get With U,Lidell Townsell & M.T.F.,1992-08-15
Always The Last To Know,Del Amitri,1992-08-15
Not Enough Time,INXS,1992-08-22
Would I Lie To You?,Charles & Eddie,1992-08-22
Real Love,Slaughter,1992-08-22
Slow Dance (Hey Mr. DJ),R. Kelly & Public Announcement,1992-08-22
Have You Ever Needed Someone So Bad,Def Leppard,1992-08-22
"All Shook Up (From ""Honeymoon In Vegas"")",Billy Joel,1992-08-22
1-4-All-4-1,East Coast Family,1992-08-22
Real Love,Mary J. Blige,1992-08-29
Bang Bang,David Sanborn,1992-08-29
Thank You,The Cover Girls,1992-08-29
Right Now,Al B. Sure!,1992-08-29
Sad New Day,Me Phi Me,1992-08-29
You Lied To Me,Cathy Dennis,1992-09-05
"Yeah, Yeah, Yeah!",Voices,1992-09-05
What About Your Friends,TLC,1992-09-05
Walking On Broken Glass,Annie Lennox,1992-09-05
Love Is On The Way,Saigon Kick,1992-09-05
Thorn In My Pride,The Black Crowes,1992-09-05
"I'd Die Without You (From ""Boomerang"")",P.M. Dawn,1992-09-12
Am I The Same Girl,Swing Out Sister,1992-09-12
Free Your Mind,En Vogue,1992-09-12
How About That,Bad Company,1992-09-12
Start The Car,Jude Cole,1992-09-12
Drowning In Your Eyes,Ephraim Lewis,1992-09-12
"I Wanna Make Love To You (From ""Innocent Blood"")",Rhythm Syndicate,1992-09-12
I Will Be Here For You,Michael W. Smith,1992-09-19
It Doesn't Matter,Tyler Collins,1992-09-19
It's My Cadillac (Got That Bass),MC Nas-D & DJ Fred,1992-09-19
Get Ready For This,2 Unlimited,1992-09-19
"Forever Love (From ""Mo' Money"")",Color Me Badd,1992-09-26
Do You Believe In Us,Jon Secada,1992-09-26
You Gotta Believe,Marky Mark & The Funky Bunch,1992-09-26
Sweet November,Troop,1992-09-26
Work To Do,Vanessa Williams,1992-09-26
How Do You Talk To An Angel,The Heights,1992-10-03
Someone To Hold,Trey Lorenz,1992-10-03
Layla,Eric Clapton,1992-10-03
Digging In The Dirt,Peter Gabriel,1992-10-03
The Message,Sofia Shinas,1992-10-03
Rump Shaker,Wreckx-N-Effect,1992-10-03
I Missed The Bus,Kris Kross,1992-10-03
My Name Is Prince,Prince And The New Power Generation,1992-10-10
Sesame's Treet,Smart E's,1992-10-10
Could've Been Me,Billy Ray Cyrus,1992-10-10
I'm Overjoyed,Nona Gaye,1992-10-10
Inside That I Cried,CeCe Peniston,1992-10-10
Where You Goin' Now,Damn Yankees,1992-10-10
Erotica,Madonna,1992-10-17
Good Enough,Bobby Brown,1992-10-17
If I Ever Fall In Love,Shai,1992-10-17
Flex,Mad Cobra,1992-10-17
Alone With You,Tevin Campbell,1992-10-17
Here It Comes,MC Serch,1992-10-17
How Do You Do!,Roxette,1992-10-17
To Love Somebody,Michael Bolton,1992-10-17
Little Miss Can't Be Wrong,Spin Doctors,1992-10-17
Symphony Of Destruction,Megadeth,1992-10-17
360 Degrees (What Goes Around),Grand Puba,1992-10-17
Do You Everynite,Joe Public,1992-10-17
"Saving Forever For You (From ""Beverly Hills, 90210"")",Shanice,1992-10-24
Chains Around My Heart,Richard Marx,1992-10-24
Keep The Faith,Bon Jovi,1992-10-24
Slow And Sexy,Shabba Ranks (Featuring Johnny Gill),1992-10-24
No One Else On Earth,Wynonna,1992-10-24
Rest In Peace,Extreme,1992-10-24
Drive,R.E.M.,1992-10-31
I Wish The Phone Would Ring,Expose,1992-10-31
The Last Song,Elton John,1992-10-31
Johnny Have You Seen Her?,The Rembrandts,1992-10-31
I'm Still Waiting,Jodeci,1992-10-31
Groovin' In The Midnight,Maxi Priest,1992-10-31
Always Tomorrow,Gloria Estefan,1992-10-31
Sad But True,Metallica,1992-10-31
Who's Gonna Ride Your Wild Horses,U2,1992-11-07
Never A Time,Genesis,1992-11-07
Faithful,Go West,1992-11-07
No Ordinary Love,Sade,1992-11-07
Baby I'm For Real/Natural High,After 7,1992-11-07
Really Into You,Around The Way,1992-11-07
I Will Always Love You,Whitney Houston,1992-11-14
Gangsta,Bell Biv DeVoe,1992-11-14
When She Cries,Restless Heart,1992-11-14
"It's Alright (From ""South Central"")",Classic Example,1992-11-14
"Love Shoulda Brought You Home (From ""Boomerang"")",Toni Braxton,1992-11-14
Walk On The Ocean,Toad The Wet Sprocket,1992-11-14
I Got A Thang 4 Ya!,Lo-Key?,1992-11-14
Washed Away,Tom Cochrane,1992-11-14
Here We Go Again!,Portrait,1992-11-14
Wicked,Ice Cube,1992-11-21
Yesterdays,Guns N' Roses,1992-11-21
Games,Chuckii Booker,1992-11-21
Love Can Move Mountains,Celine Dion,1992-11-21
Ain't Nobody Like You,Miki Howard,1992-11-21
Something Good,Utah Saints,1992-11-21
"In The Still Of The Nite (From ""The Jacksons"")",Boyz II Men,1992-11-28
It's Gonna Be A Lovely Day,The S.O.U.L. S.Y.S.T.E.M.,1992-11-28
I Don't Care,Shakespear's Sister,1992-11-28
7,Prince And The New Power Generation,1992-11-28
These Are Days,"10,000 Maniacs",1992-11-28
Deeper And Deeper,Madonna,1992-12-05
"Give It Up, Turn It Loose",En Vogue,1992-12-05
Everything's Gonna Be Alright,Father M.C.,1992-12-05
"Baby, I Believe In You",George LaMond,1992-12-05
I Love You Period,Dan Baird,1992-12-05
Quality Time,Hi-Five,1992-12-05
Heal The World,Michael Jackson,1992-12-12
Homies,Lighter Shade Of Brown,1992-12-12
Pleasure,The Soup Dragons,1992-12-12
Stand Up (Kick Love Into Motion),Def Leppard,1992-12-12
Shamrocks And Shenanigans (Boom Shalock Lock Boom),House Of Pain,1992-12-12
"The Right Kind Of Love (From ""Beverly Hills, 90210"")",Jeremy Jordan,1992-12-12
Sexual,Goddess,1992-12-12
"Revolution (From ""Malcolm X"")",Arrested Development,1992-12-12
Mr. Wendal,Arrested Development,1992-12-19
A Whole New World (Aladdin's Theme),Peabo Bryson & Regina Belle,1992-12-19
Reminisce,Mary J. Blige,1992-12-19
I Got A Man,Positive K,1992-12-19
Ditty,Paperboy,1992-12-19
Steam,Peter Gabriel,1992-12-19
Don't Walk Away,Jade,1992-12-19
This Could Be The One,Bad Company,1992-12-19
Forever In Love,Kenny G,1992-12-19
Understand This Groove,Sound Factory,1992-12-26
Pick It Up,Home Team,1992-12-26
Irresistible,Cathy Dennis,1992-12-26
Love's Taken Over,Chante Moore,1992-12-26
No Mistakes,Patty Smyth,1992-12-26
Sleeping With You,Firehouse,1992-12-26
Crazy Love,CeCe Peniston,1992-12-26
Get Up (Move Boy Move),AB Logic,1992-12-26
Punks Jump Up To Get Beat Down,Brand Nubian,1993-01-02
"All Alone On Christmas (From ""Home Alone 2"")",Darlene Love,1993-01-02
Right Here,SWV,1993-01-02
Murder She Wrote,Chaka Demus & Pliers,1993-01-02
"I'm Every Woman (From ""The Bodyguard"")",Whitney Houston,1993-01-09
Ordinary World,Duran Duran,1993-01-09
Informer,Snow,1993-01-09
Dazzey Duks,Duice,1993-01-09
Rebirth Of Slick (Cool Like Dat),Digable Planets,1993-01-16
Get Away,Bobby Brown,1993-01-16
Comforter,Shai,1993-01-23
That's What Love Can Do,Boy Krazy,1993-01-23
Bed Of Roses,Bon Jovi,1993-01-23
Little Bird,Annie Lennox,1993-01-23
Feels Like Heaven,Peter Cetera (Duet With Chaka Khan),1993-01-23
I'm Gonna Get You,Bizarre Inc,1993-01-23
"Love Is (From ""Beverly Hills, 90210"")",Vanessa Williams/Brian McKnight,1993-01-23
Tell The Truth,Jude Cole,1993-01-23
Stand,Poison,1993-01-30
Angel,Jon Secada,1993-01-30
Hip Hop Hooray,Naughty By Nature,1993-01-30
Two Princes,Spin Doctors,1993-01-30
Gangsta Bitch,Apache,1993-01-30
Speed,Alpha Team,1993-01-30
"Nuthin' But A ""G"" Thang",Dr. Dre,1993-01-30
Hat 2 Da Back,TLC,1993-02-06
Man On The Moon,R.E.M.,1993-02-06
I'm So Into You,SWV,1993-02-06
Happy Days,Silk,1993-02-06
Losin' Myself,Debbie Gibson,1993-02-06
Sweet Thing,Mary J. Blige,1993-02-13
Cat's In The Cradle,Ugly Kid Joe,1993-02-13
Sweet Thing,Mick Jagger,1993-02-13
Passionate Kisses,Mary Chapin Carpenter,1993-02-13
Supermodel (You Better Work),RuPaul,1993-02-13
Toss-Up,N2Deep,1993-02-13
Freak Me,Silk,1993-02-20
Bad Girl,Madonna,1993-02-20
I See Your Smile,Gloria Estefan,1993-02-20
If I Ever Lose My Faith In You,Sting,1993-02-20
Come In Out Of The Rain,Wendy Moten,1993-02-20
So Alone,Men At Large,1993-02-20
Hope Of Deliverance,Paul McCartney,1993-02-20
Knock-N-Boots,Wreckx-N-Effect,1993-02-20
Beautiful Girl,INXS,1993-02-20
Stop The World,Extreme,1993-02-20
I Have Nothing,Whitney Houston,1993-02-27
Love U More,Sunscreem,1993-02-27
Simple Life,Elton John,1993-02-27
Dedicated,R. Kelly & Public Announcement,1993-02-27
Who Got The Props,Black Moon,1993-02-27
Nothin' My Love Can't Fix,Joey Lawrence,1993-03-06
I Feel You,Depeche Mode,1993-03-06
Tap The Bottle,Young Black Teenagers,1993-03-06
It Was A Good Day,Ice Cube,1993-03-06
Candy Everybody Wants,"10,000 Maniacs",1993-03-06
"The Crying Game (From ""The Crying Game"")",Boy George,1993-03-13
Save Your Love,Bad Boys Blue,1993-03-13
Shoop Shoop (Never Stop Givin' You Love),Michael Cooper,1993-03-13
Born 2 B.R.E.E.D.,Monie Love,1993-03-13
Give It To You,Martha Wash,1993-03-13
What You Won't Do For Love,Go West,1993-03-13
She's Not Cryin' Anymore,Billy Ray Cyrus,1993-03-13
Romeo,Dolly Parton & Friends,1993-03-13
Somebody Love Me,Michael W. Smith,1993-03-13
Looking Through Patient Eyes,P.M. Dawn,1993-03-20
Down With The King,Run-D.M.C.,1993-03-20
Easy,Faith No More,1993-03-20
Kiss Of Life,Sade,1993-03-20
Good Ol' Days,Levert,1993-03-20
Love Me The Right Way,Rapination & Kym Mazelle,1993-03-20
Love Don't Love You,En Vogue,1993-03-27
Three Little Pigs,Green Jelly,1993-03-27
Tell Me What You Dream,Restless Heart Featuring Warren Hill,1993-03-27
Closer,Remedy,1993-03-27
Funky Child,Lords Of The Underground,1993-03-27
Buddy X,Neneh Cherry,1993-03-27
I'll Never Get Over You (Getting Over Me),Expose,1993-03-27
Connected,Stereo MC's,1993-03-27
How I'm Comin',LL Cool J,1993-04-03
The Morning Papers,Prince And The New Power Generation,1993-04-03
Throw Ya Gunz,Onyx,1993-04-03
Roll Wit Tha Flava,The Flavor Unit MC's,1993-04-03
Tonight,Def Leppard,1993-04-03
Love Me Or Leave Me Alone,Brand Nubian,1993-04-03
Typical Reasons (Swing My Way),Prince Markie Dee And The Soul Convention,1993-04-03
Show Me Love,Robin S.,1993-04-03
If I Could,Regina Belle,1993-04-03
Who Is It,Michael Jackson,1993-04-10
Livin' On The Edge,Aerosmith,1993-04-10
Touch My Light,Big Mountain,1993-04-10
Knockin' Da Boots,H-Town,1993-04-10
Alibis,Tracy Lawrence,1993-04-17
Come Undone,Duran Duran,1993-04-17
"Silence Is Broken (From ""Nowhere To Run"")",Damn Yankees,1993-04-17
Sleeping Satellite,Tasmin Archer,1993-04-17
You're The Love Of My Life/The Love I Lost,Sybil,1993-04-17
So Close,Dina Carroll,1993-04-17
Weak,SWV,1993-04-24
"Let's Go Through The Motions (From ""Who's The Man?"")",Jodeci,1993-04-24
That's The Way Love Is,Bobby Brown,1993-04-24
Have I Told You Lately,Rod Stewart,1993-04-24
Bow Wow Wow,Funkdoobiest,1993-04-24
Sweet On U,Lo-Key?,1993-04-24
Every Little Thing U Do,Christopher Williams,1993-04-24
It's My Life,Dr. Alban,1993-04-24
Deeper,Boss,1993-04-24
What's Up,4 Non Blondes,1993-04-24
That's The Way Love Goes,Janet Jackson,1993-05-01
"Bad Boys (Theme From ""Cops"")",Inner Circle,1993-05-01
More And More,Captain Hollywood Project,1993-05-01
Regret,New Order,1993-05-01
"Whoot, There It Is",95 South,1993-05-01
Wannagirl,Jeremy Jordan,1993-05-01
Passin' Me By,The Pharcyde,1993-05-01
La La Love,Bobby Ross Avila,1993-05-01
In These Arms,Bon Jovi,1993-05-08
Six Feet Deep,Geto Boys,1993-05-08
Hero,David Crosby & Phil Collins,1993-05-08
Lost In Your Eyes,The Jeff Healey Band,1993-05-08
I Love The Way You Love Me,John Michael Montgomery,1993-05-08
Give Him A Love He Can Feel,Tene Williams,1993-05-08
Somebody To Love,George Michael & Queen,1993-05-15
"Girl, I've Been Hurt",Snow,1993-05-15
Love No Limit,Mary J. Blige,1993-05-15
Cry No More,II D Extreme,1993-05-15
Dre Day,Dr. Dre,1993-05-15
Feed The Tree,Belly,1993-05-15
"Can't Help Falling In Love (From ""Sliver"")",UB40,1993-05-15
The Floor,Johnny Gill,1993-05-22
Little Miracles (Happen Every Day),Luther Vandross,1993-05-22
By The Time This Night Is Over,Kenny G With Peabo Bryson,1993-05-22
Don't Take Away My Heaven,Aaron Neville,1993-05-22
Whoomp! (There It Is),Tag Team,1993-05-29
Slam,Onyx,1993-05-29
"I Don't Wanna Fight (From ""What's Love Got To Do With It"")",Tina Turner,1993-05-29
Good Times With Bad Boys,Boy Krazy,1993-05-29
Gold Diggin' Girls,MC Nas-D & DJ Fred,1993-05-29
"Who's The Man? (From ""Who's The Man"")",House Of Pain,1993-05-29
Can't Get Enough Of Your Love,Taylor Dayne,1993-06-05
Walking In My Shoes,Depeche Mode,1993-06-05
Fields Of Gold,Sting,1993-06-05
ABC-123,Levert,1993-06-05
One Woman,Jade,1993-06-05
Voice Of Freedom,Freedom Williams,1993-06-05
Something's Goin' On,U.N.V.,1993-06-05
Baby I'm Yours,Shai,1993-06-05
Lately,Jodeci,1993-06-12
If I Had No Loot,Tony Toni Tone,1993-06-12
Runaway Train,Soul Asylum,1993-06-12
One Last Cry,Brian McKnight,1993-06-12
I'm Gonna Be (500 Miles),The Proclaimers,1993-06-12
A Bad Goodbye,Clint Black With Wynonna,1993-06-12
Dur Dur D'etre BeBe! (It's Tough To Be A Baby),Jordy,1993-06-19
Girl U For Me/Lose Control,Silk,1993-06-19
"Almost Unreal (From ""Super Mario Bros."")",Roxette,1993-06-19
Humps For The Blvd.,Rodney O & Joe Cooley,1993-06-19
Back Seat (Of My Jeep),LL Cool J,1993-06-19
Falling In Love,New Born,1993-06-19
I Should Be Laughing,Patty Smyth,1993-06-19
Run To You,Whitney Houston,1993-06-26
I'm Free,Jon Secada,1993-06-26
Do Da What,1 Of The Girls,1993-06-26
Creep,Radiohead,1993-06-26
Should've Been A Cowboy,Toby Keith,1993-06-26
It's On,Naughty By Nature,1993-06-26
"Get It Up (From ""Poetic Justice"")",TLC,1993-07-03
I Get Around,2Pac,1993-07-03
"Big Gun (From ""Last Action Hero"")",AC/DC,1993-07-03
Tell Me Why,Wynonna,1993-07-03
Another Sad Love Song,Toni Braxton,1993-07-03
What's Up Doc? (Can We Rock),Fu-Schnickens W/ Shaquille O'Neal,1993-07-03
Teddy Bear,G-Wiz,1993-07-03
U Don't Hear Me Tho',Rodney O & Joe Cooley,1993-07-03
Killer/Papa Was A Rollin' Stone,George Michael,1993-07-03
Believe,Lenny Kravitz,1993-07-03
Insane In The Brain,Cypress Hill,1993-07-10
Ooh Child,Dino,1993-07-10
I Like It,Jomanda,1993-07-10
Chattahoochee,Alan Jackson,1993-07-10
Very Special,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",1993-07-10
Pets,Porno For Pyros,1993-07-10
Step It Up,Stereo MC's,1993-07-10
Wide River,The Steve Miller Band,1993-07-10
Chief Rocka,Lords Of The Underground,1993-07-10
Right Here (Human Nature)/Downtown,SWV,1993-07-17
Will You Be There,Michael Jackson,1993-07-17
Even A Fool Can See,Peter Cetera,1993-07-17
Break It Down Again,Tears For Fears,1993-07-17
"When I Fall In Love (From ""Sleepless In Seattle"")",Celine Dion And Clive Griffin,1993-07-17
Stay Forever,Joey Lawrence,1993-07-17
Ruffneck,MC Lyte,1993-07-17
"It's For You (From ""The Meteor Man"")",Shanice,1993-07-17
"Unconditional Love (From ""Menace II Society"")",Hi-Five,1993-07-17
Rain,Madonna,1993-07-24
If,Janet Jackson,1993-07-24
Happy,Legacy Of Sound Featuring Meja,1993-07-24
The Ways Of The Wind,P.M. Dawn,1993-07-24
Hey Jealousy,Gin Blossoms,1993-07-24
Alright,Kris Kross Featuring Supercat,1993-07-31
The River Of Dreams,Billy Joel,1993-07-31
Check Yo Self,Ice Cube Featuring Das EFX,1993-07-31
Cryin',Aerosmith,1993-07-31
Lick U Up,H-Town,1993-07-31
In The Heart Of A Woman,Billy Ray Cyrus,1993-07-31
The Bonnie And Clyde Theme,Yo-Yo,1993-07-31
Dreamlover,Mariah Carey,1993-08-07
Boom! Shake The Room,Jazzy Jeff & The Fresh Prince,1993-08-07
Sweat (A La La La La Long),Inner Circle,1993-08-07
That's What Little Girls Are Made Of,Raven-Symone,1993-08-07
Mega Medley,Zapp & Roger,1993-08-07
Let Me Roll,Scarface,1993-08-07
What Might Have Been,Little Texas,1993-08-07
"Streiht Up Menace (From ""Menace II Society"")",MC Eiht,1993-08-14
In My Nature,Nuttin' Nyce,1993-08-14
Reason To Believe,Rod Stewart,1993-08-14
For The Cool In You,Babyface,1993-08-14
I'll Sleep When I'm Dead,Bon Jovi,1993-08-14
Oh Carolina,Shaggy,1993-08-14
Love For Love,Robin S.,1993-08-21
Something In Your Eyes,Bell Biv DeVoe,1993-08-21
No Rain,Blind Melon,1993-08-21
Few And Far Between,"10,000 Maniacs",1993-08-21
Gotta Get Mine,M.C. Breed,1993-08-21
Better Than You,Lisa Keith,1993-08-21
Hey Mr. D.J.,Zhane,1993-08-28
Sunday Morning,"Earth, Wind & Fire",1993-08-28
What Is Love,Haddaway,1993-08-28
"Soul To Squeeze (From ""Coneheads"")",Red Hot Chili Peppers,1993-08-28
Delicate,Terence Trent D'Arby,1993-08-28
I'm In Luv,Joe,1993-08-28
Hopelessly,Rick Astley,1993-09-04
Come Inside,Intro,1993-09-04
Too Much Information,Duran Duran,1993-09-04
Come Baby Come,K7,1993-09-04
"Two Steps Behind (From ""Last Action Hero"")",Def Leppard,1993-09-11
Everybody Hurts,R.E.M.,1993-09-11
World (The Price Of Love),New Order,1993-09-11
